price,area,bedrooms,bathrooms,stories,parking,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,ProximityToSchool_Far,ProximityToTransport_Far,ProximityToSchool,ProximityToTransport
13300000,7420,4,2,3,2,True,False,False,False,True,True,False,False,False,False,Far,Far
12250000,8960,4,4,4,3,True,False,False,False,True,False,False,False,True,False,Close,Far
12250000,9960,3,2,2,2,True,False,True,False,False,True,True,False,True,False,Far,Far
12215000,7500,4,2,2,3,True,False,True,False,True,True,False,False,False,True,Close,Close
11410000,7420,4,1,2,2,True,True,True,False,True,False,False,False,False,False,Far,Close
10850000,7500,3,3,1,2,True,False,True,False,True,True,True,False,False,False,Far,Close
10150000,8580,4,3,4,2,True,False,False,False,True,True,True,False,True,True,Far,Far
10150000,16200,5,3,2,0,True,False,False,False,False,False,False,True,True,False,Close,Close
9870000,8100,4,1,2,2,True,True,True,False,True,True,False,False,True,True,Far,Close
9800000,5750,3,2,4,1,True,True,False,False,True,True,False,True,False,False,Close,Close
9800000,13200,3,1,2,2,True,False,True,False,True,True,False,False,True,True,Far,Far
9681000,6000,4,3,2,2,True,True,True,True,False,False,True,False,False,False,Far,Far
9310000,6550,4,2,2,1,True,False,False,False,True,True,True,False,False,True,Far,Far
9240000,3500,4,2,2,2,True,False,False,True,False,False,False,False,True,True,Close,Close
9240000,7800,3,2,2,0,True,False,False,False,False,True,True,False,True,False,Far,Close
9100000,6000,4,1,2,2,True,False,True,False,False,False,True,False,True,False,Far,Far
9100000,6600,4,2,2,1,True,True,True,False,True,True,False,True,True,True,Close,Far
8960000,8500,3,2,4,2,True,False,False,False,True,False,False,False,True,False,Far,Close
8890000,4600,3,2,2,2,True,True,False,False,True,False,False,False,True,False,Far,Close
8855000,6420,3,2,2,1,True,False,False,False,True,True,True,False,False,False,Close,Close
8750000,4320,3,1,2,2,True,False,True,True,False,False,True,False,False,False,Far,Close
8680000,7155,3,2,1,2,True,True,True,False,True,False,False,True,True,False,Far,Far
8645000,8050,3,1,1,1,True,True,True,False,True,False,False,False,True,False,Close,Close
8645000,4560,3,2,2,1,True,True,True,False,True,False,False,False,True,True,Far,Far
8575000,8800,3,2,2,2,True,False,False,False,True,False,False,False,True,False,Far,Close
8540000,6540,4,2,2,2,True,True,True,False,True,True,False,False,True,False,Far,Far
8463000,6000,3,2,4,0,True,True,True,False,True,True,True,False,False,False,Far,Close
8400000,8875,3,1,1,1,True,False,False,False,False,False,True,False,True,False,Far,Close
8400000,7950,5,2,2,2,True,False,True,True,False,False,False,True,True,False,Far,Far
8400000,5500,4,2,2,1,True,False,True,False,True,True,True,False,True,True,Close,Close
8400000,7475,3,2,4,2,True,False,False,False,True,False,False,True,True,False,Far,Close
8400000,7000,3,1,4,2,True,False,False,False,True,False,True,False,False,True,Far,Far
8295000,4880,4,2,2,1,True,False,False,False,True,True,False,False,True,False,Far,Far
8190000,5960,3,3,2,1,True,True,True,False,False,False,False,True,True,True,Close,Far
